artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count_x,genres,genre,count,label
Clairo,0.4381862068965519,0.7090689655172416,185867.7931034483,0.4993931034482758,0.0514188062068965,0.1714586206896551,-9.916379310344832,0.0560655172413793,119.72117241379308,0.5827724137931035,69.27586206896552,0,1,29,"['bedroom pop', 'boston indie', 'indie pop']",indie pop,65,37
Clara Haskil,0.9866666666666668,0.3339999999999999,368353.33333333326,0.1536833333333333,0.4893333333333333,0.10645,-17.508166666666664,0.0512833333333333,93.6245,0.3905,0.0,10,1,6,['classical performance'],classical performance,127,7
Clare Dunn,0.486,0.4320000000000001,212120.0,0.7959999999999999,0.0,0.355,-2.952,0.049,183.935,0.563,61.0,4,0,2,"['contemporary country', 'country pop']",contemporary country,60,52
"Clarence ""Frogman"" Henry",0.4415,0.662,141533.5,0.503,2.125e-05,0.128,-6.752500000000001,0.04195,97.05249999999998,0.691,48.5,10,1,4,"['louisiana blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll']",rhythm and blues,64,41
Clarence Carter,0.4266000000000001,0.6414999999999998,172564.83333333337,0.5095555555555555,0.0023207627777777,0.2066611111111111,-12.618111111111116,0.0587666666666666,107.13683333333334,0.8598888888888889,34.5,10,1,36,"['classic soul', 'funk', 'motown', 'rhythm and blues', 'soul', 'southern soul']",rhythm and blues,64,41
Clark Johnsen,0.6738000000000001,0.597,284973.4,0.472,0.0,0.31932,-10.1996,0.382,137.26100000000002,0.5933999999999999,53.0,5,1,5,['show tunes'],show tunes,136,5
Classics IV,0.7531000000000001,0.6011,168563.7,0.3749,0.0181492839999999,0.15056,-12.0444,0.03184,112.0773,0.6515000000000001,37.6,0,0,10,"['brill building pop', 'bubblegum pop', 'folk rock', 'soft rock']",folk rock,56,61
Claud,0.201,0.818,138000.0,0.623,0.0,0.1119999999999999,-5.901,0.043,120.104,0.968,64.0,9,0,1,"['alternative r&b', 'indie r&b', 'pop']",pop,180,0
Claude-Michel Schönberg,0.8396666666666666,0.2933333333333333,257059.83333333328,0.15255,2.243333333333333e-05,0.2128833333333333,-17.559833333333334,0.0420333333333333,107.11866666666668,0.1303333333333333,29.5,5,1,6,['broadway'],broadway,82,25
Claudio Abbado,0.9299090909090908,0.2472727272727273,243490.7272727273,0.147590909090909,0.7826363636363637,0.2186,-20.823,0.0391454545454545,114.03454545454548,0.3003727272727273,39.45454545454545,7,0,11,"['classical performance', 'orchestral performance']",classical performance,127,7
Claudio Arrau,0.9928298319327754,0.4386554621848737,191564.224789916,0.1552170588235292,0.8898592436974793,0.1338065126050419,-21.91036554621846,0.0537128151260503,101.27548949579834,0.4199838235294121,0.6386554621848739,7,1,476,"['classical', 'classical performance', 'classical piano']",classical piano,76,28
