genre,label
sludge metal,885
smooth soul,886
brass quintet,887
uk americana,888
nueva ola chilena,889
brazilian jazz,890
greek pop,891
uk funky,892
middle earth,893
banjo,894
emo punk,895
progressive jazz fusion,896
violao,897
chill guitar,898
rock nacional brasileiro,899
electra,900
german rock,901
musica prehispanica,902
peruvian rock,903
swamp blues,904
brostep,905
technical thrash,906
j-pop girl group,907
tone,908
bouzouki,909
deathcore,910
vintage swing,911
trap argentino,912
navajo,913
contemporary jazz,914
cha-cha-cha,915
acid house,916
san diego rap,917
country boogie,918
romanian pop,919
k-pop girl group,920
twee pop,921
girl group,922
rave,923
minimal wave,924
bachata,925
gospel r&b,926
nz reggae,927
manchester hip hop,928
hopebeat,929
clean comedy,930
oratory,931
american choir,932
nu-metalcore,933
washington indie,934
vintage old-time,935
laboratorio,936
bboy,937
vocaloid,938
small room,939
traditional bluegrass,940
azeri traditional,941
idol,942
trap espanol,943
musica llanera,944
early avant garde,945
turkish jazz,946
brazilian soul,947
shibuya-kei,948
mande pop,949
pop house,950
swedish jazz,951
family gospel,952
anime latino,953
israeli pop,954
jig and reel,955
singaporean pop,956
cumbia funk,957
trancecore,958
jazz flute,959
brega,960
neo-singer-songwriter,961
drift,962
brit funk,963
spanish renaissance,964
mandolin,965
norwegian indie,966
j-metal,967
afro psych,968
mainland chinese pop,969
sacramento indie,970
ethnomusicology,971
detroit hip hop,972
native american flute,973
vapor pop,974
anthem emo,975
canadian contemporary r&b,976
christian pop,977
parody,978
classic girl group,979
brazilian edm,980
vaporwave,981
ccm,982
brass band,983
german pop,984
deep big room,985
thrash core,986
modern power pop,987
concert band,988
singaporean mandopop,989
post-punk argentina,990
zouk,991
venezuelan hip hop,992
dansktop,993
shiver pop,994
post-minimalism,995
greek contemporary classical,996
alternative pop,997
memphis blues,998
south carolina indie,999
uk metalcore,1000
cello,1001
kawaii future bass,1002
turbo folk,1003
ethereal wave,1004
swedish indie pop,1005
colombian pop,1006
pakistani folk,1007
chillwave,1008
psychobilly,1009
post-doom metal,1010
desi pop,1011
big room,1012
rap cristiano,1013
london rap,1014
arab folk,1015
baiao,1016
guidance,1017
cancion infantil mexicana,1018
japanese classical performance,1019
instrumental soul,1020
popping,1021
mariachi cristiano,1022
microhouse,1023
uk worship,1024
mindfulness,1025
southern metal,1026
minnesota hip hop,1027
mississippi indie,1028
enka,1029
polka,1030
dmv rap,1031
cumbia andina mexicana,1032
chamber choir,1033
english baroque,1034
musical advocacy,1035
neo-pagan,1036
early reggae,1037
classic turkish pop,1038
cumbia villera,1039
uk alternative hip hop,1040
nashville singer-songwriter,1041
german punk,1042
norwegian singer-songwriter,1043
bluegrass gospel,1044
industrial hip hop,1045
danish pop,1046
viola,1047
south african jazz,1048
string folk,1049
irish hip hop,1050
deep tropical house,1051
uk pop punk,1052
pop folk,1053
indie shoegaze,1054
spanish baroque,1055
mbalax,1056
jazztronica,1057
israeli folk,1058
dutch house,1059
kids dance party,1060
oxford choir,1061
classic russian pop,1062
melodic deathcore,1063
ontario indie,1064
pop quebecois,1065
japanese pop punk,1066
new england americana,1067
classic afrobeat,1068
canadian electronic,1069
austro-german modernism,1070
japanese emo,1071
boy soprano,1072
deathgrind,1073
modern jazz piano,1074
czech contemporary classical,1075
native american hip hop,1076
lds youth,1077
chicago indie,1078
military rap,1079
jug band,1080
ambient techno,1081
early synthpop,1082
german alternative rock,1083
abstract hip hop,1084
bush ballad,1085
japanese traditional,1086
dub techno,1087
scream rap,1088
accordion,1089
happy hardcore,1090
autoharp,1091
rhode island indie,1092
spanish rock,1093
neue deutsche harte,1094
uk reggae,1095
vegas indie,1096
indie singer-songwriter,1097
indie psych-pop,1098
